hook,body,cta,platform,schedule_date,scheduled_time,Status,visual_url
"Strategen machen einen Fehler — sie denken zu lange nach.","Als Stratege (Psychotyp S) liegt dein grösster Hebel nicht in tieferem Denken. Er liegt in konsequenterem Handeln. Dein Profil zeigt: Du hast die Antworten. Du hast das System. Was fehlt, ist der letzte Schritt: Raus aus dem Kopf, rein in die Welt.","→ Mach den kostenlosen NeuroBusiness-Schnelltest: neurobusiness.one",linkedin,2026-06-16,09:00,scheduled,
"5 Psychotypen. Welcher bist du?","Stratege · Visionär · Macher · Connector · Grübler — Nicht als Schublade. Als neuropsychologisches Muster, das deine Business-Entscheidungen steuert. Erkenne dich. Verstehe dich. Nutze dich.","→ 10 Fragen · 2 Minuten · Sofort-Ergebnis: neurobusiness.one",instagram,2026-06-16,18:00,scheduled,
"Visionäre beginnen 100 Projekte. Visionäre beenden 12.","Das ist kein Defizit. Das ist ein Muster. Als Visionär (Typ V) arbeitest du in Energie-Wellen: Inspiration → Idee → Anlauf → Erschöpfung → nächste Idee. Die Frage ist nicht, wie du aufhörst anzufangen. Die Frage ist, welche Idee deine Energie verdient.","→ Finde dein neuropsychologisches Muster: neurobusiness.one",linkedin,2026-06-17,09:00,scheduled,
"Der Burnout kommt nicht vom Zu-viel-Arbeiten.","Er kommt vom Arbeiten gegen das eigene Profil. Ich sehe das täglich: Unternehmerinnen, die im falschen Modus arbeiten. Die falsche Energie aufwenden. Die falsche Struktur erzwingen. Das ist erschöpfend — unabhängig von der Stundenzahl.","→ Verstehe dein Risikoprofil: neurobusiness.one",instagram,2026-06-17,18:00,scheduled,
"Macher brauchen kein Feedback. Sie brauchen Ergebnisse.","Wenn du Typ M bist, ist dein grösster Antrieb: Was funktioniert? Was bringt Resultate? Das macht dich schnell, entschlossen, effizient. Und manchmal blind für Details, die du nicht siehst — weil du schon beim nächsten Schritt bist.","→ Was dein Business-Profil über dich verrät: neurobusiness.one",linkedin,2026-06-18,09:00,scheduled,
"Kennst du dein neuropsychologisches Profil?","Nicht MBTI. Nicht Big Five. Sondern: Wie entscheidest du? Wie kommunizierst du? Wie reagierst du unter Druck? Das NeuroBusiness-Profiling kartiert 5 Dimensionen — und zeigt dir, wo dein grösster Hebel liegt.","→ Kostenloser Schnelltest: neurobusiness.one",instagram,2026-06-18,18:00,scheduled,
"Connectors sind die unsichtbaren CEOs.","Typ C: Du baust Beziehungen, die andere nicht sehen. Du öffnest Türen mit einem Gespräch. Du weißt, wer wen kennt — und warum das wichtig ist. Das ist keine Soft Skill. Das ist neuropsychologische Intelligenz.","→ Erkenne dein Profil: neurobusiness.one",linkedin,2026-06-19,09:00,scheduled,
"Warum kluge Menschen schlechte Business-Entscheidungen treffen.","Nicht wegen fehlender Intelligenz. Sondern wegen unbewusster Muster. Der Grübler analysiert zu lange. Der Visionär handelt zu früh. Der Macher übersieht Nuancen. Jedes Profil hat seinen blinden Fleck — und der kostet.","→ Finde deinen blinden Fleck: neurobusiness.one",instagram,2026-06-19,18:00,scheduled,
"Was ich als Neuropsychologin täglich in Business-Gesprächen beobachte:","Profil 1 (Stratege): Weiss alles — handelt zu wenig. Profil 2 (Visionär): Enthusiasmiert alle — baut selten fertig. Profil 3 (Macher): Liefert schnell — verliert Tiefe. Profil 4 (Connector): Kennt jeden — verliert sich in Beziehungen. Profil 5 (Grübler): Versteht alles — entscheidet fast nie. Welches bist du?","→ neurobusiness.one",linkedin,2026-06-20,09:00,scheduled,
"Regulatory Focus Theory — auf Business angewandt.","Higgins (1997): Menschen sind entweder promotion-fokussiert (auf Wachstum ausgerichtet) oder prevention-fokussiert (auf Sicherheit ausgerichtet). Keins von beiden ist besser. Aber beide brauchen eine andere Business-Strategie, einen anderen Vertriebsstil, eine andere Art zu kommunizieren.","→ Lerne deinen Fokus kennen: neurobusiness.one",linkedin,2026-06-21,09:00,scheduled,
